1::Lily-Flowered Tulips::Tulips|Magenta
2::Zygopetalum OrchidsPhalaenopsis Orchids::Orchids|Red
3::Rosella�s Dream::Lilies|Purple
4::Shock-O-Lat::Sunflowers|Red
5::Dianthus superbus::Carnations|Purple
6::Tallulah Belle::Poppies|White
7::German Iris::Iris|Ivory
8::Stripe::Bougainvilleas|Orange
9::Floribunda Roses::Roses|Red
10::Viridiflora Tulips::Tulips|White
11::Epidendrum Orchids::Orchids|Purple
12::Longiflorium lilies::Lilies|Yellow
13::Little Becka::Sunflowers|White
14::Everlast Lavender Lace::Carnations|Purple
15::Patty Plum::Poppies|Red
16::Bearded Iris::Iris|Orange
17::Camarillo Fiesta::Bougainvilleas|Orange
18::Centifolia Roses::Roses|Magenta
19::Parrot Tulips::Tulips|Magenta
20::Psychopsis Orchids::Orchids|Orange
21::Longiflorium lilies::Lilies|Yellow
22::Solar Flare::Sunflowers|Yellow
23::Dianthus Chinensis::Carnations|Orange
24::Helen Elizabeth Poppy::Poppies|Red
25::Siberian Iris::Iris|White
26::Madonna::Bougainvilleas|Magenta
27::Climbing Roses::Roses|Orange
28::Double Tulips::Tulips|Purple
29::Miltonia Orchids::Orchids|Magenta
30::Trumpet lilies::Lilies|Blue
31::American Giant::Sunflowers|Purple
32::Sweet William::Carnations|Orange
33::Corn Poppy::Poppies|Yellow
34::Dwarf Bearded Iris::Iris|Purple
35::Madonna::Bougainvilleas|Ivory
36::Centifolia Roses::Roses|Ivory
37::Lily-Flowered Tulips::Tulips|Yellow
38::Oncidium Orchids::Orchids|Orange
39::LA hybrid lilies::Lilies|Blue
40::Sunflower Zohar::Sunflowers|Purple
41::Dianthus Armeria::Carnations|White
42::Opium Poppy::Poppies|White
43::Dwarf Crested Iris::Iris|Red
44::Camarillo Fiesta::Bougainvilleas|Magenta
45::Groundcover Roses::Roses|Purple
46::Single Early Tulips::Tulips|Red
47::Encyclia Orchids::Orchids|Purple
48::Longiflorium lilies::Lilies|Yellow
49::Orange Sun::Sunflowers|Ivory
50::Sweet William::Carnations|White
51::Picotee::Poppies|Purple
52::Reticulata iris::Iris|Magenta
53::Ms. Alice::Bougainvilleas|Blue
54::Climbing Roses::Roses|Blue
55::Darwin Hybrid Tulips::Tulips|Ivory
56::Cattleya Orchids::Orchids|Yellow
57::Nankeen::Lilies|Magenta
58::Coconut Ice::Sunflowers|Blue
59::Dianthus Plumarius::Carnations|Magenta
60::Himalayan Poppy::Poppies|Blue
61::Dwarf Bearded Iris::Iris|Blue
62::Scarlett-O-Hara::Bougainvilleas|Purple
63::China Roses::Roses|Blue
64::Kaufmanniana Tulips::Tulips|Yellow
65::Epidendrum Orchids::Orchids|Yellow
66::Turk Cap lilies::Lilies|Red
67::Pacino::Sunflowers|Magenta
68::Everlast Lavender Lace::Carnations|White
69::Patty Plum::Poppies|Yellow
70::Louisiana Iris::Iris|Yellow
71::Scarlett-O-Hara::Bougainvilleas|Ivory
72::Gallica Roses::Roses|Red
73::Kaufmanniana Tulips::Tulips|Purple
74::Psychopsis Orchids::Orchids|Orange
75::Longiflorium lilies::Lilies|Yellow
76::Goldie::Sunflowers|Yellow
77::Cheddar Pinks::Carnations|Purple
78::Turkish Delight::Poppies|Magenta
79::Siberian Iris::Iris|Blue
80::Cherry Blossom::Bougainvilleas|Yellow
81::Hybrid Tea Roses::Roses|Orange
82::Triumph Tulips::Tulips|Magenta
83::Vanda Orchids::Orchids|Magenta
84::Orienpet lilies::Lilies|Yellow
85::Sunflower Elegance::Sunflowers|Orange
86::Dianthus Neon Star::Carnations|Purple
87::Ruffles::Poppies|Orange
88::Louisiana Iris::Iris|Red
89::Silhouette::Bougainvilleas|Magenta
90::Climbing Roses::Roses|Magenta
91::Fringed Tulips::Tulips|Purple
92::Encyclia Orchids::Orchids|Red
93::Martagon Mix::Lilies|Purple
94::American Giant::Sunflowers|Orange
95::Dianthus superbus::Carnations|Purple
96::Ruffles::Poppies|Orange
97::Dutch Iris::Iris|Purple
98::Raspberry-Ice::Bougainvilleas|Purple
99::Gallica Roses::Roses|Red
100::Single Late Tulips::Tulips|Blue
101::Cattleya Orchids::Orchids|Ivory
102::LA hybrid lilies::Lilies|Red
103::Sunforest Mix::Sunflowers|White
104::Dianthus Deltoides Maiden::Carnations|Yellow
105::California Poppy::Poppies|Ivory
106::Reticulata iris::Iris|Orange
107::Gold Rush::Bougainvilleas|Yellow
108::Floribunda Roses::Roses|Purple
109::Double Tulips::Tulips|Ivory
110::Encyclia Orchids::Orchids|Ivory
111::Nankeen::Lilies|Magenta
112::Valentine::Sunflowers|Magenta
113::Dianthus American::Carnations|Blue
114::Opium Poppy::Poppies|Yellow
115::Japanese Iris::Iris|Purple
116::Barbara Karst::Bougainvilleas|Ivory
117::Shrub Roses::Roses|Purple
118::Viridiflora Tulips::Tulips|Blue
119::Cattleya Orchids::Orchids|Yellow
120::Martagon Mix::Lilies|Blue
121::Chianti::Sunflowers|Yellow
122::Sweet William::Carnations|Orange
123::Glow::Poppies|Purple
124::Japanese Iris::Iris|Magenta
125::Barbara Karst::Bougainvilleas|Red
126::Gallica Roses::Roses|Yellow
127::Single Early Tulips::Tulips|Purple
128::Zygopetalum OrchidsPhalaenopsis Orchids::Orchids|Red
129::LA hybrid lilies::Lilies|Magenta
130::American Giant::Sunflowers|Purple
131::Dianthus superbus::Carnations|Ivory
132::Patty Plum::Poppies|Red
133::Bearded Iris::Iris|Magenta
134::Queen::Bougainvilleas|Yellow
135::Damask Roses::Roses|Orange
136::Lily-Flowered Tulips::Tulips|Yellow
137::Miltonia Orchids::Orchids|Orange
138::Longiflorium lilies::Lilies|Purple
